feature	val_acc	test_acc	rank
wavelet-HLH_gldm_DependenceEntropy	0.30609756097560975	0.25	442
wavelet-HLH_gldm_DependenceNonUniformity	0.18414634146341463	0.35	362
wavelet-HLH_gldm_DependenceNonUniformityNormalized	0.2731707317073171	0.1	564
wavelet-HLH_gldm_DependenceVariance	0.348780487804878	0.25	489
wavelet-HLH_gldm_GrayLevelNonUniformity	0.2841463414634146	0.2	111
wavelet-HLH_gldm_GrayLevelVariance	0.28292682926829266	0.25	292
wavelet-HLH_gldm_HighGrayLevelEmphasis	0.2975609756097561	0.1	381
wavelet-HLH_gldm_LargeDependenceEmphasis	0.33902439024390246	0.1	528
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis	0.32926829268292684	0.2	503
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis	0.2817073170731707	0.3	332
wavelet-HLH_gldm_LowGrayLevelEmphasis	0.2975609756097561	0.1	381
wavelet-HLH_gldm_SmallDependenceEmphasis	0.3170731707317073	0.2	482
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis	0.29024390243902437	0.2	550
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis	0.2817073170731707	0.25	445
wavelet-HLH_glrlm_GrayLevelNonUniformity	0.2731707317073171	0.35	206
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized	0.27682926829268295	0.15	229
wavelet-HLH_glrlm_GrayLevelVariance	0.27682926829268295	0.15	230
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis	0.30121951219512194	0.15	318
wavelet-HLH_glrlm_LongRunEmphasis	0.3231707317073171	0.1	471
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis	0.3329268292682927	0.3	479
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis	0.2682926829268293	0.4	311
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis	0.30121951219512194	0.15	317
wavelet-HLH_glrlm_RunEntropy	0.31585365853658537	0.25	427
wavelet-HLH_glrlm_RunLengthNonUniformity	0.37317073170731707	0.3	528
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized	0.3231707317073171	0.05	564
wavelet-HLH_glrlm_RunPercentage	0.29634146341463413	0.15	553
wavelet-HLH_glrlm_RunVariance	0.2780487804878049	0.2	488
wavelet-HLH_glrlm_ShortRunEmphasis	0.26097560975609757	0.1	496
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis	0.3621951219512195	0.15	453
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis	0.27926829268292686	0.1	460
